"item-count";"item-percent";"item-value";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName";"FrequencyType"
5;"5%";"LLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LL. LLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
3;"3%";"LLLLLLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLL LLLLLLL LLL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLL LLLLL LL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLLLL LLL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLLLL LLLLL LL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLLLL LLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
2;"2%";"LLLLLLLL LLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"L. LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"L. LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLL LLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL LLLLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. L.L. LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLL LLLL L.L.";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLLLL LLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL. LLLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL.LLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LL.LLLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLL LLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLL LLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLL LLLLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLL LLLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLL LLLLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLL LLLLL LL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLL LLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLLL L. LLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLLL LLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
1;"1%";"LLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked"
