"percent";"count";"value";"Multiple_RDC"
"50%";"10";"1";"S_2:7:1"
"20%";"4";"2";"S_2:7:2"
"10%";"2";"3";"S_2:7:3"
"5%";"1";"17";"S_2:7:4"
"5%";"1";"8";"S_2:7:5"
"5%";"1";"7";"S_2:7:6"
"5%";"1";"5";"S_2:7:7"
"16.6666666667%";"3";"3";"S_18:11:1"
"16.6666666667%";"3";"1";"S_18:11:2"
"11.1111111111%";"2";"6";"S_18:11:3"
"11.1111111111%";"2";"5";"S_18:11:4"
"11.1111111111%";"2";"4";"S_18:11:5"
"5.5555555556%";"1";"16";"S_18:11:6"
"5.5555555556%";"1";"13";"S_18:11:7"
"5.5555555556%";"1";"11";"S_18:11:8"
"5.5555555556%";"1";"9";"S_18:11:9"
"5.5555555556%";"1";"7";"S_18:11:10"
"5.5555555556%";"1";"2";"S_18:11:11"
"14.2857142857%";"1";"18";"S_27:7:1"
"14.2857142857%";"1";"17";"S_27:7:2"
"14.2857142857%";"1";"16";"S_27:7:3"
"14.2857142857%";"1";"13";"S_27:7:4"
"14.2857142857%";"1";"11";"S_27:7:5"
"14.2857142857%";"1";"9";"S_27:7:6"
"14.2857142857%";"1";"8";"S_27:7:7"
"33.3333333333%";"1";"50";"S_30:3:1"
"33.3333333333%";"1";"42";"S_30:3:2"
"33.3333333333%";"1";"8";"S_30:3:3"
