"SourceSystemName";"SourceSystemExternalID";"SourceSystemDescription";"SourceSchemaName";"SourceSchemaExternalID";"SourceID";"SourceExternalID";"SourceName";"SourceTypeID";"SourceDescription";"SourceLayerName";"SourceLayerType";"SourceLayerDescription";"jdbc_ConnectionName";"DQFramework_DBType";"Omni_DBType"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"case_doc_xref";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_shadow";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_roles";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_settings";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_file_settings";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_hba_file_rules";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_config";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_shmem_allocations";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_prepared_statements";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_stat_progress_vacuum";"VIEW";"No Description Available";"omni";"pg";"pg"
